Empresas do ramo alimentício de São José do Rio Preto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nome ;Segmento ;Contato;Instagram/Facebook;Número de Seguidores;Ifood;Link Ifood;Outra Plataforma de Delivery;Link da Plataforma ;Avaliação Google;Avaliação Ifood;CNPJ;Endereço;Bairro;Região Adm;CEP;Porte;CNAE;;;;;;;;;;;;;;
*;Outros;*;*;;*;*;*;*;;; 39.951.517/0001-00;AV. JOSÉ MUNIA, 4775 (LOJA F2019);JARDIM REDENTOR ;HB;15085-350;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
LISBOA E LOPES LANCHONETE;Lanchonetes/Hamburguerias; (17)2139-8380;*;;*;*;*;*;;; 06.100.123/0001-80;AV. JOSÉ MUNIA, 7301 (SALA B); JARDIM VIVENDAS;HB;15085-350;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
*;Outros;*;*;;*;*;*;*;;; 48.103.867/0001-07;AV. JOSÉ MUNIA, 6939;JARDIM REDENTOR ;HB;15085-350;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
GRÃO ESPRESSO CAFETERIA;Lanchonetes/Hamburguerias; (17)3363-0023; graoespresso_oficial;276,00;*;*;*;*;4,50;; 21.060.308/0001-00;AV. JOSÉ MUNIA, 4775 (LOJA LUC 1013);JARDIM REDENTOR ;HB;15085-350;EMPRESA DE PEQUENO PORTE;03/02/5611;;;;;;;;;;;;;;
GRÃO ESPRESSO CAFETERIA;Lanchonetes/Hamburguerias; (17)3227-9000; graoespresso_oficial;276,00;*;*;*;*;4,30;; 21.060.308/0001-00;AV. BRG. FARIA LIMA, 6363; JARDIM MORUMBI;HB;15090-900;EMPRESA DE PEQUENO PORTE;03/02/5611;;;;;;;;;;;;;;
GRÃO ESPRESSO CAFETERIA;Lanchonetes/Hamburguerias; (17)3363-0023; graoespresso_oficial;276,00;*;*;*;*;4,30;; 21.060.308/0001-00;AV. PRES. JUSCELINO K. DE OLIVEIRA, 5000;RESIDENCIAL ECO VILLAGE I;HB;15093-340;EMPRESA DE PEQUENO PORTE;03/02/5611;;;;;;;;;;;;;;
BAR E LANCHONETE PITÚ;Lanchonetes/Hamburguerias; (17)3232-2271;*;;*;*;*;*;4,60;; 54.402.896/0001-64;  R. CEL. SPÍNOLA DE CASTRO, 5190;CENTRO;Central;15015-500;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
*;Outros;*;*;;*;*;*;*;;; 05.919.893/0001-97;R. LUÍZ VAZ DE CAMÕES, 3236;COLÉGIO ANGLO, VILA REDENTORA;HB;15015-750;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
BLANCAFÉ;Lanchonetes/Hamburguerias; (17)3222-1444; blancafeoficial;143,00;*;*;*;*;4,50;; 21.347.876/0001-89;R. XV DE NOVEMBRO, 4095;VILA REDENTORA;HB;15015-790;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
MELTING BURGERS REDENTORA;Lanchonetes/Hamburguerias; (17)3305-6567; meltingburgers;21700,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/melting-burgers-vila-imperial;Plataforma Própria;https://meltingburgers.com.br/meltingburgers;4,50;4,80; 18.474.258/0001-95;R. DR. RAUL SILVA, 153;VILA REDENTORA;HB;15015-020;EMPRESA DE PEQUENO PORTE;03/02/5611;;;;;;;;;;;;;;
MELTING BURGERS;Lanchonetes/Hamburguerias; (17)3227-1979; meltingburgers;21700,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/melting-burgers-jardim-moyses-miguel-haddad;Delivery Direto;https://deliverydireto.com.br/meltingburgers/jk?utm_source=google-place-action-link&dd=menu;4,40;4,20; 18.474.258/0001-95;AV. PRES. JUSCELINO K. DE OLIVEIRA, 3730;JARDIM MOYSES MIGUEL HADDAD;HB;15093-215;EMPRESA DE PEQUENO PORTE;03/02/5611;;;;;;;;;;;;;;
MELTING BURGERS DAMHA;Lanchonetes/Hamburguerias; (17)3223-0313; meltingburgers;21700,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/melting-burgers-parque-residencial-damha;Delivery Direto;https://deliverydireto.com.br/meltingburgers/damha?utm_source=google-place-action-link&dd=menu;4,10;4,60; 18.474.258/0001-95;AV. MIGUEL DAMHA, 1825;PARQUE RESIDENCIAL DAMHA;Represa;15061-768;EMPRESA DE PEQUENO PORTE;03/02/5611;;;;;;;;;;;;;;
BROOKS HAMBURGUERIA RIO PRETO;Lanchonetes/Hamburguerias; (17)3363-6894; brooksriopreto;22000,00; Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/brooks-hamburgueria-vila-redentora;Gommer;https://brooks-hamburgueria-rio-preto.goomer.app/;4,40;4,00; 30.559.970/0001-92;R. PENITA, 3353;VILA SANTA CRUZ;Central;15015-820;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
THE B-BURGUERS (SANTO BRISTRÔ);Lanchonetes/Hamburguerias; (17)3234-5210;*;;*;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/santo-bistro-centro;*;*;4,70;4,00; 48.653.441/0001-19;R. XV DE NOVEMBRO, 4027;CENTRO;Central;15015-110;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
GOOD HOUSE SMASH BURGER;Lanchonetes/Hamburguerias; (17)98201-8462; goodhouseburguer;14300,00; Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/good-house-burger-vila-redentora;Gommer;https://good-house-burger.goomer.app/;4,70;4,80; 35.156.465/0001-10;R. MIRASSOL, 3118;VILA REDENTORA;HB;15015-830;EMPRESA DE PEQUENO PORTE;03/02/5611;;;;;;;;;;;;;;
BUTECO DU GAÚCHO;Comida Brasileira; (17)99195-3390; butecodugaucho;763,00; Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/buteco-du-gaucho-centro;Menu Dino;https://butecodugaucho.menudino.com/;4,80;; 40.821.345/0001-20;R. CEL. SPÍNOLA DE CASTRO, 4496;CENTRO;Central;15015-500;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
RESTAURANTE FAROL DA BARRA;Comida Brasileira; (17)3512-2985;*;;*;*;*;*;4,80;; 09.521.504/0001-21;RUA LUÍZ VAZ DE CAMÕES, 2783;VILA REDENTORA;HB;15015-750;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
BAR E MERCEARIA GOMES;Outros;(17)99210-6113;*;;*;*;*;*;;;10.593.781/0001-29;RUA FRANSCISCO RILLO, 700;JOÃO PAULO II;Bosque;15053-190;MICRO EMPRESA;04/02/5611;;;;;;;;;;;;;;
LANCHES MONÁ;Lanchonetes/Hamburguerias;*;*;;*;*;*;*;;;09.139.715/0001-02;AVENIDA DANILO GALEAZZI, 2745;JOÃO PAULO II;Bosque;15051-000;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
LANCHONETE CHAPA QUENTE;Lanchonetes/Hamburguerias;17 99260-1616;Chapa Quente Lanches;308,00;*;*;*;*;4,80;;40.645.753/0001-79;AVENIDA DANILO GALEAZZI, 2915;JOÃO PAULO II;Bosque;15051-155;INDIVIDUAL;03/02/5611;;;;;;;;;;;;;;
SORVETERIA NEVASKA;Sorveteria/ Açaí/ Doceria;17 3224 0499; @nevaskarp;729,00;*;*;*;*;4,80;;01.057.362/0001-81;RUA SANTA CECILIA, 260;RESIDENCIAL JOAQUIM NABUCO;Central;15020-270;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
DIPZ;Comida Brasileira;17 3201 2952; @batatadipz;18400,00;*;*;*;*;4,40;;16.722.214/0001-01;AVENIDA ALFREDO ANTONIO DE OLIVEIRA, 2077;JARDIM PLANALTO;Central;15046-355;EMPRESA DE PEQUENO PORTE;01/02/5611;;;;;;;;;;;;;;
BURGER KING;Lanchonetes/Hamburguerias;11 5058 5000; @burgerkingbr;2100000,00;*;*;Rappi;https://www.rappi.com.br/restaurantes/900148968-burger-king?utm_source=google&utm_medium=organic&utm_campaign=place-action-link;4,40;;28.835.723/0001-20;AVENIDA ALFREDO ANTONIO DE OLIVEIRA, 2077;JARDIM PLANALTO;Central;15046-355;GRANDE;03/02/5611;;;;;;;;;;;;;;
SUCOS MOENDA REGIAO NORTE;Lanchonetes/Hamburguerias;17 99636 3232; @sucosmoendarn;475,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/sucos-moenda---shopping-cidade-norte-jardim-planalto;*;*;3,00;;36.392.877/0001-12;AVENIDA ALFREDO ANTONIO DE OLIVEIRA, 2077;JARDIM PLANALTO;Central;15046-355;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
ESPETO CIDADE NORTE;Comida Brasileira;17 99181 6747; @espeto_cidade_norte;838,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/espeto-cidade-norte-parque-juriti;*;*;4,60;;33.000.123/0001-81;RUA JOSÉ RUBIO, 51;PARQUE JURITI;CEU;15046-572;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
SUZI AÇAÍ;Sorveteria/ Açaí/ Doceria;17 99161 1441; @suziacai;544,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/suzi-acai-solo-sagrado;*;*;5,00;;23.777.754/0001-58;AVENIDA SÃO JOSÉ DO RIO PRETO, 4154;RESIDENCIAL DAS LARANJEIRAS;Pinheirinho;15044-155;INDIVIDUAL;03/02/5611;;;;;;;;;;;;;;
SUSHI DO BAIANO;Comida Étnica (Japão);17 98805 8837; @sushidobaiano;450,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/sushi-do-baiano-parque-residencial-lauriano-tebar-ii;*;*;3,90;4,70;37.434.694/0001-85;AVENIDA DE MAIO, 3245, SALA 1;PARQUE RESIDENCIAL LAURIANO TEBAR II;Vila Toninho;15076-480;INDIVIDUAL;01/02/5611;;;;;;;;;;;;;;
AÇAÍ VILA BUENO;Sorveteria/ Açaí/ Doceria;17 98832 3325; @vilabuenoacai;153,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/acai-vila-bueno-parque-residencial-lauriano-tebar-ii;*;*;4,80;5,00;45.582.999/0001-62;AVENIDA DE MAIO, 3231;PARQUE RESIDENCIAL LAURIANO TEBAR II;Vila Toninho;15076-480;INDIVIDUAL;03/02/5611;;;;;;;;;;;;;;
MARMITARIA SABOR PIMENTA;Outros;*;*;;*;*;*;*;;;44.547.237/0001-62;RUA RUI BARBOSA, 494;CENTRO;Central;15220-000;INDIVIDUAL;04/01/5620;;;;;;;;;;;;;;
MAURICIO'S RESTAURANTE;Comida Brasileira;17 3011 8005;Mauricio's Lanches;251,00;Ativo;*;*;*;4,70;;29.032.574/0001-23;AVENIDA DOUTOR FERNANDO COSTA, 445;VILA MACENO;Central;15061-000;INDIVIDUAL;01/02/5611;;;;;;;;;;;;;;
CASEIRINHA RESTAURANTE;Comida Brasileira;(17) 98837-1493;*;;*;*;*;*;5,00;;43.329.776/0001-62;RUA JOSÉ MARIA DE OLIVEIRA CASACA, 559;JARDIM MARIA CANDIDA;HB;15020-340;INDIVIDUAL;01/02/5611;;;;;;;;;;;;;;
APETITE TRADICIONAL;Comida Brasileira;17 99641 9825;Apetite tradicional;194,00;*;*;Whatsapp;https://www.whatsapp.com/catalog/5517996419825/?app_absent=0;4,50;;37.936.493/0001-86;RUA ALBERTO SUFREDINI BERTONI, 2328, ANEXO 1;VILA MACENO;Central;15060-020;INDIVIDUAL;01/02/5611;;;;;;;;;;;;;;
TIVOLI RESTAURANTE;Comida Brasileira;17 3223 1264;Tivoli Restaurante Maceno;319,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/tivoli-restaurante---praca-shopping-centro;*;*;4,60;;15.573.988/0001-55;RUA BERNARDINO DE CAMPOS, 1931;CENTRO;Central;15060-010;EMPRESA DE PEQUENO PORTE;01/02/5611;;;;;;;;;;;;;;
VILA GARCIA PIZZARIA;Pizzarias/Massas;17 3304 5141; @vilagarcia.pizzaria;2306,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/vila-garcia-pizzaria-delivery-centro;*;*;4,40;4,80;28.226.684/0001-63;RUA BERNARDINO DE CAMPOS, 1822, SALÃO A;VILA MACENO;Central;15060-010;INDIVIDUAL;01/02/5611;;;;;;;;;;;;;;
JAPEY LOUNGE;Comida Étnica (Japão);17 98835 0030; @japeylounge;9763,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/japey-sushi-lounge-vila-maceno;*;*;4,40;4,40;40.151.929/0001-36;AVENIDA DOUTOR FERNANDO COSTA, 755, BOX 14;VILA MACENO;Central;15061-000;INDIVIDUAL;01/02/5611;;;;;;;;;;;;;;
ARMAZEM DOS SABORES RESTAURANTE;Comida Brasileira;17 98153 3403;Armazém DOS Sabores;11600,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/armazem-dos-sabores-jardim-manoel-del-arco;*;*;4,30;;48.236.774/0001-42;RUA MANOEL DEL ARCO, 162;JARDIM MANOEL DEL ARCO;CEU;15046-708;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
PIZZARIA DO JAIR;Pizzarias/Massas;17 3305 4365;Pizzaria do Jair;1400,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/pizzaria-do-jair-jardim-manoel-del-arco;*;*;4,50;4,90;32.200.884/0001-14;RUA MANOEL DEL ARCO, 210;JARDIM MANOEL DEL ARCO;CEU;15046-708;INDIVIDUAL;01/02/5611;;;;;;;;;;;;;;
VÔ FRANCISCO RESTAURANTE;Comida Brasileira;17 98130 3686;Vô Francisco Restaurante;356,00;*;*;*;*;4,00;;43.063.058/0001-97;AVENIDA ALFREDO ANTONIO DE OLIVEIRA, 2077;JARDIM PLANALTO;Central;15046-355;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
PORCO NO PRATO;Comida Brasileira;17 3237 1476;Porco no Prato Cidade Norte;206,00;*;*;*;*;4,40;4,90;46.539.294/0001-25;AVENIDA ALFREDO ANTONIO DE OLIVEIRA, 2077;JARDIM PLANALTO;Central;15046-355;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
DON GELATTO;Sorveteria/ Açaí/ Doceria;(17)3363-9099;dongelatto.oficial;500,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/gelatos-gourmet-parque-residencial-dom-lafayete-libanio;*;*;4,80;4,70;25.328.021/0001-61;RUA ABRAO THOME, 695;JARDIM WALKIRIA;HB;15085-400;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
CAPITÃO BURGUER;Lanchonetes/Hamburguerias;(17)98810-8330;Capitão Burguer Rio Preto;120,00;*;*;*;*;5,00;;34.437.316/0001-67;AV. GOV. ADHEMAR P. DE BARROS;VILA FIORESI ;Central;15014-402;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
RESTAURANTE BEYROUTH;Comida Étnica (Arábia);(17)3227-7302;restaurantebeyrouth;199,00;*;*;*;*;4,40;;07.359.509/0001-74;RUA GERASSINA TAVARES, 980;JARDIM YOLANDA;Represa;15061-650;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
LOPES LANCHES;Lanchonetes/Hamburguerias;(17) 99150-0951;*;;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/lopes-lanches-artesanais-jardim-yolanda;*;*;4,60;4,80;47.609.079/0001-16;AVENIDA SYLVIO DELLA ROVERE, 537;JARDIM YOLANDA;Represa;15061-580;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
SKINA'S BURGUER;Lanchonetes/Hamburguerias;(17)99195-0266;Skina's Burguer's;814,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/skinas-burguers-vila-zilda;*;*;4,40;4,10;37.576.933/0001-31;RUA EXPEDICIONARIOS, 1481;VILA ZILDA;Central;15025-030;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
EMPÓRIO DO BOLO;Sorveteria/ Açaí/ Doceria;(17) 99268-8531;*;;*;*;*;*;5,00;;45.664.194/0001-68;RUA EXPEDICIONARIOS, 2020;VILA ZILDA;Central;15025-030;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
EMPÓRIO VALENTINA;Lanchonetes/Hamburguerias;(17) 99703-9594;*;;*;*;*;*;4,40;;31.810.728/0001-02;AVENIDA VALDOMIRO LOPES DA SILVA, 902;NATURE I;;15044-800;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
MARMITARIA CAMPOS SALLES;Lanchonetes/Hamburguerias;(17)99199-3363;*;;*;*;*;*;4,50;;*;R. CAMPOS SALLES, 906;BOA VISTA;Central;15025-600;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
ARMAZÉM ÁRABE;Comida Étnica (Arábia);(17)3216-5116;*;;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/armazem-arabe-boa-vista;*;*;4,70;5,00;07.428.222/0001-59;R. LUIZ ANTÔNIO DA SILVEIRA, 544;BOA VISTA;Central;15025-020;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
BADIOLA PIZZAS;Pizzarias/Massas;(17)3308-2863;badiolapizzas;1782,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/badiola-pizzas-boa-vista;WayMenu ;https://www.waymenu.com.br/menu/badiola-pizzas/delivery/#/cardapio;4,60;4,90;19.272.685/0001-53;R. CAMPOS SALLES, 2162;BOA VISTA;Central;15025-600;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
BALBEK BAR;Comida Brasileira;(17)99171-9789;*;;*;*;*;*;4,40;;42.409.422/0001-65;R. DELEGADO PINTO DE TOLÊDO,1893;PARQUE INDUSTRIAL;CENTRAL;15025-075;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
HANBAI SUSHI BAR;Comida Étnica (Japão);(17)3234-3529;*;;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/hanbai-restaurante-japones-vila-santa-cruz;Gommer;https://hanbaisushibar.goomer.app/;4,40;4,80;45.890.127/0001-61;RUA MARECHAL DEODORO DA FONSECA, 3518;VILA SANTA CRUZ;Central;15014-060;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
FRIDA LOUNGE E BAR;Comida Brasileira;(17)98192-6595;_fridabar;4028,00;*;*;*;*;4,40;;36.577.061/0001-63;R. SILVA JARDIM, 3533;VILA SANTA CRUZ;Central;15014-050;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
YOKOHAMA;Comida Étnica (Japão);(17)3222-1001;yokohama.oficial;;*;*;*;*;4,40;;24.555.048/0001-24;R. RUBIÃO JÚNIOR, 3485;VILA BOM JESUS;Central;15014-220;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
TOCA DA CORUJA PUB BAR;Comida Brasileira;17 99617 2679;tocadacorujariopreto;10300,00;*;*;*;*;4,60;;17.469.531/0001-20;R. SALDANHA MARINHO, 3928;VILA SANTA CRUZ;Central;15014-300;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
LANCHONETE SAMUKA;Lanchonete/Diversos;(17)99257-1412;*;;*;*;*;*;5,00;;22.664.886/0001-00;R. TIRADENTES, 2958;CENTRO;Central;15010-030;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
PASTELARIA MEILI;Lanchonetes/Hamburguerias;*;*;;*;*;*;*;4,50;;25.031.783/0001-00;R. BERNARDINO DE CAMPOS, 2671;CENTRO;Central;15015-300;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
COFFEE SHOP;Lanchonetes/Hamburguerias;(17)3222-6519;*;;*;*;*;*;3,90;;*;R. BERNARDINO DE CAMPOS, 3011;CENTRO;Central;15015-300;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
PASTELARIA ORIENTE;Lanchonetes/Hamburguerias;(17)3231-9729;*;;*;*;*;*;4,50;;02.339.675/0001-95;R. SIQUEIRA CAMPOS, 2916;CENTRO;Central;15010-040;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
T N HATTORI RIO PRETO;Lanchonetes/Hamburguerias;(17)3232-4333;*;;*;*;*;*;4,00;;73.015.893/0001-12;R. ANTÔNIO DE GODOY, 3048,BOX 20;CENTRO;Central;15015-100;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
HILTON LANCHES;Lanchonetes/Hamburguerias;(17)3234-2528;*;;*;*;*;*;4,80;;55.477.806/0001-67;AVENIDA DOUTOR ALBERTO ANDALÓ, 2964;CENTRO;Central;15015-000;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
BIG BURGER LANCHES E AÇAÍ;Lanchonete/Diversos;(17) 99722-4974;*;;*;*;*;*;4,60;;34.466.410/0001-44;R SALOMAO BOAVENTURA, 186 ;LOTEMAMENTO PARQUE RESIDENCIAL DA LEALDADE;Talhado;15054-628;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
HILL ROCK BURGUER;Lanchonetes/Hamburguerias;(17) 98142-5920;*;;*;*;*;*;;;38.163.448/0001-07;AV JOSE DA SILVA SE, 2207 SALA 3;PARQUE DA LIBERDADE II;Represa;15056-730;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
*;Outros;(17) 99211-2775;*;;*;*;*;*;;;48.204.535/0001-00;AV JOSE DA SILVA SE, 205 CASA 80;PARQUE DA LIBERDADE III;Represa;15056-710;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
*;Outros;(17) 3217-9011;*;;*;*;*;*;;;07.799.126/0001-17;R CILO RODRIGUES, 1496 ;LOTEAMENTO RESIDENCIAL LUZ DA ESPERANCA;Represa;15056-806;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
SIMÕES BURGUER;Lanchonetes/Hamburguerias;(17) 3231-6989;Simões Burguer ;561,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/simoes-burguer-luz-da-esperanca;Anota Ai;https://pedido.anota.ai/;4,50;4,80;37.383.476/0001-69;R PAULO FERNANDES LUCANIA, 1008 ;LOTEAMENTO RESIDENCIAL LUZ DA ESPERANCA;Represa;15056-804;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
AMOR EM PONTOS TRICOTIN;Outros;(17) 99774-6970;*;;*;*;*;*;;;40.326.289/0001-58;R JOSE AUGUSTO ALVES, 898 ;RESIDENCIAL LUZIA POLOTTO;CEU;15045-674;MICRO EMPRESA;4789-0/01;;;;;;;;;;;;;;
*;Outros;(17) 98162-0920;*;;*;*;*;*;;;14.770.258/0001-81;R SETE DE FEVEREIRO, 362 SALA 1;MACEDO TELES I;Cidade da Criança;15040-540;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
ROTISSEIRA ROTISSERV ESPETARIA;Comida Brasileira;(17) 99756-0783;Rotisserv;62,00;*;*;*;*;4,50;;34.967.342/0001-05;R JAMIL KFOURI 555 ;JARDIM VETORASSO;;15040-355;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
LANCHONETE SUPERIUS;Outros;(17) 3225-4685;*;;*;*;*;*;;;19.469.142/0001-20;R ANTONIO DE GODOY, 3832 ;CENTRO;Central;15015-100;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
ESPECIAL LANCHES;Lanchonetes/Hamburguerias;(17) 99728-4081; especiallanches_;8164,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/especial-lanches-e-acai-vila-maceno;*;*;4,60;4,50;56.715.303/0001-45;AV DOUTOR FERNANDO COSTA, 616 ;JARDIM PRIMAVERA;Central;15061-000;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
LANCHONETE E GARAPAO MACENO;Lanchonetes/Hamburguerias;(17) 3215-2779;Lanchonete Garapão - Facebook;455,00;*;*;*;*;4,80;;51.836.385/0001-62;R BERNARDINO DE CAMPOS, 1634 ;JARDIM ALTO ALEGRE;Central;15060-010;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
PIO BATATA E AGUA MINERAL;Lanchonetes/Hamburguerias;(17) 98844-7346;Pio Água Mineral - Facebook;919,00;*;*;*;*;;;34.444.509/0001-45;R BERNARDINO DE CAMPOS, 1994 ;VILA MACENO;Central;15060-010;MICRO EMPRESA;4723-7/00;;;;;;;;;;;;;;
KAMPAI;Comida Étnica (Japão);(17) 99638-3368; kampairiopreto;15900,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/kampai-rio-preto-parque-residencial-damha/6ff4ec70-4375-4f8b-a846-050a627af60d?utm_medium=ReserveGoogle;Whatsapp;https://api.whatsapp.com/message/YSQODM3KNRUXA1?autoload=1&app_absent=0;4,50;;49.056.789/0001-91;AV MIGUEL DAMHA, 1300 LOJA 03;JARDIM VISTA ALEGRE;Represa;15061-800;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
MOLECAGGIO RP;Pizzarias/Massas;(17) 3215-8180; molecaggiopizzas;11700,00;Ativo;*;*;*;4,20;;47.017.438/0001-46;R SIQUEIRA CAMPOS, 2257 TERREOTERREO;BOA VISTA;Central;15025-055;MICRO EMPRESA;04/01/5620;;;;;;;;;;;;;;
BUTIQUIM SAO JORGE;Comida Brasileira;(17) 99160-8478;*;;*;*;*;*;2,50;;43.892.028/0001-93;AV COMENDADOR VICENTE FILIZOLA, 6080 ;JARDIM MARIA CANDIDA;HB;15020-350;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
CORES E SABORES LILIAN MASSAS;Comida Brasileira; (17) 98197-4979;*;;*;*;Anota ai;https://pedido.anota.ai/loja/cores-e-sabores?from=site&utm_source=portal-share-btn&referer=https%3A%2F%2Fwww.google.com%2F;5,00;;43.940.583/0001-43;R MANOEL MORENO, 1150 ;JARDIM MARIA LUCIA;Central;15047-101;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
*;Outros;(17) 3232-4165;*;;*;*;*;*;;;67.324.590/0001-89;AV BRIGADEIRO FARIA LIMA, 6363 BOX 61;JARDIM FRANCISCO FERNANDES;HB;15090-000;DEMAIS;01/02/5611;;;;;;;;;;;;;;
BUSHIDO;Comida Brasileira; (17) 3234-9567;deliverybushido;577,00;*;*;*;*;4,00;;22.757.495/0001-30;"AV BRIGADEIRO FARIA LIMA 6363, 6363 : SUC 198;";JARDIM MORUMBI;HB;15090-900;EMPRESA DE PEQUENO PORTE;01/02/5611;;;;;;;;;;;;;;
H2CHOPP;Comida Étnica (Arábia);(17) 3226-2388;H2 Chopp Rio Preto;1700,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/h2-restaurante-jardim-morumbi;*;*;4,60;4,50;02.520.126/0001-12;AV BRIGADEIRO FARIA LIMA, 6363 SUC 57,58,59;JARDIM MORUMBI;HB;15090-000;EMPRESA DE PEQUENO PORTE;01/02/5611;;;;;;;;;;;;;;
*;Outros;(17) 3216-7759;*;;*;*;*;*;;;37.417.320/0001-51;AV BRIGADEIRO FARIA LIMA 6363, 6363 LOJA 186 E 187 R P SHOP;JARDIM MORUMBI;HB;15090-900;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
*;Comida Étnica (Japão);(17) 98111-5009;*;;*;*;*;*;;;28.528.328/0001-02;AV ANISIO HADDAD, 7370 SALA 01 ESQUERDA;JARDIM ACLIMACAO;HB;15091-380;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
