Empresas do ramo alimentício de São José do Rio Preto;;;;;;;;;;;;;;;;;;;;;
Nome ;Franquias;Segmento ;Contato;Instagram/Facebook;Número de Seguidores;Ifood;Link Ifood;Outra Plataforma de Delivery;Link da Plataforma ;Avaliação Google;Avaliação Ifood;Quantidade de Avaliações (Google);Quantidade de Avaliações (Ifood);CNPJ;Endereço;Bairro;Região Adm;CEP;Porte;CNAE;
BR FITNESS DAMHA;;Saudáveis/Veganas/Veget;17 3225-5218;brfitness;52;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/br-fitness-saudavel---comida-e-lanches-parque-residencial-damha;*;*;4,2;;38;0;47.035.908/0001-02;AVENIDA MIGUEL DAMHA, 1160;RESIDENCIAL GAIVOTA I;Represa;15061-699;MICRO EMPRESA;03/02/5611;
CONFRARIA DO ESPETO;;Comida Brasileira;17 3013-2323;confrariadoespetorp;221;*;*;*;*;4,6;;681;0;10.619.371/0001-00;RUA MARECHAL DEODORO DA FONSECA,3829;VILA SANTA CRUZ;Central;15014-060;MICRO EMPRESA;03/02/5611;
PARCERIA BAR & ESPETARIA;;Comida Brasileira;17 98819-4200;parceriabarespetaria;10900;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/parceria-bar--espetaria-vila-borguese;*;*;3,9;5;70;3;33.385.142/0001-73;AV. FORTUNATO ERNESTO VETORASSO, 1920;VILA BORGUESE;Pinheirinho;15041-570;MICRO EMPRESA;03/02/5611;
NANÁ DOCES CASEIROS;;Sorveteria/ Açaí/ Doceria;17 99282-8357;*;;*;*;*;*;;;0;0;42.535.143/0001-48;AV. NELSON DA VEIGA, 40;JARDIM DO BOSQUE;Bosque;15053-600;MICRO EMPRESA;03/02/5611;
CALIFORNIA LANCHES;;Lanchonetes/Hamburguerias;17 98140-3334;Califórnia Lanches;243;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/california-lanches-residencial-california;*;*;4,7;5;233;5;23.044.113/0001-94;R. ANTENOR RODRIGUES, SN;COLORADO;Pinheirinho;15047-310;MICRO EMPRESA;03/02/5611;
ESPETO DU BONI;;Comida Brasileira;17 99158-3838;espetinhoduboni;122;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/espeto-du-boni-parque-residencial-cambui;*;*;5;;44;0;40.312.559/0001-71;AV. TREZE DE MAIO, 4141;PARQUE RESIDENCIAL CAMBUI;Vila Toninho;15077-357;MICRO EMPRESA;03/02/5611;
LÚ CAKE CONFERTERIA;;Outros;17 98827-5652;*;;*;*;*;*;5;;1;0;43.193.271/0001-13;R. JACINTO HONÓRIO DE MELO, 1515;JARDIM CANAA;Central;15030-120;MICRO EMPRESA;03/02/5611;
ESPETO.COM;;Comida Brasileira;17 99129-4482;*;16100;*;*;*;*;4,6;;257;0;34.914.389/0001-00;AV. JOÃO BERNARDINO SEIXAS RIBEIRO, 1325;JARDIM CANAA;Central;15030-100;MICRO EMPRESA;03/02/5611;
KAME YAKISSOBA;;Comida Étnica (Japão);17 99733-9023;kame.yakissoba;654;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/kame-yakissoba-boa-vista;Gommer;https://kame-yakissoba.goomer.app/;4,9;4,7;64;253;39.521.757/0001-66;AV. CONSTITUIÇÃO, 1673;BOA VISTA;Central;15025-120;MICRO EMPRESA;03/02/5611;
RESTAURANTE BOM GOURMET;;Comida Brasileira;17 3212-4097;rbomgourmet;570;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/restaurante-bom-gourmet-boa-vista;*;*;4,7;5;507;3;03.377.024/0001-52;R. LAFAYETE SPÍNOLA CASTRO, 1665;BOA VISTA;Central;15025-510;MICRO EMPRESA;05/01/1900;
ESPETARIA BOA VISTA;;Comida Brasileira;17 99747-5546;espetariaboavista_;774;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/mario-espetos-e-porcoes-boa-vista;*;*;4,8;4,8;44;60;48.098.315/0001-40;R. DR. PRESCILIANO PINTO, 2059;BOA VISTA;Central;15025-100;MICRO EMPRESA;01/02/5611;
RESTAURANTE BRASEIRO;;Comida Brasileira;17 3222-3612;*;;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/braseiro-restaurante-boa-vista;*;*;4,5;4,9;279;17;08.005.102/0001-01;R. CAMPOS SALLES, 1343;BOA VISTA;Central;15025-600;MICRO EMPRESA;01/02/5611;
SUBWAY;;Lanchonetes/Hamburguerias;*;*;;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/subway---bady-boa-vista/08ed225f-c388-4427-a00c-0f01d3721bd2?utm_medium=ReserveGoogle;*;*;4,3;4,5;1157;183;27.773.625/0001-42;AV. BADY BASSITT, 3750;BOA VISTA;Central;15025-000;EMPRESA DE PEQUENO PORTE;01/02/5611;
MOLECAGGIO PIZZAS;;Pizzarias/Massas;17 3211-4410;molecaggiopizzas;11600;*;*;*;*;4,2;;353;0;01.396.012/0001-40;R. SIQUEIRA CAMPOS, 2257;BOA VISTA;Central;15025-055;MICRO EMPRESA;01/02/5611;
KISSPETO - ESPETARIA E PETISCARIA;;Comida Brasileira;17 3305-9832;kisspetoespetaria;175;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/kisspeto-espetaria-e-petiscaria-parque-industrial;*;*;4,9;4,9;812;12;31.790.127/0001-85;RUA MARECHAL DEODORO DA FONSECA, 1771;BOA VISTA;Central;15025-070;MICRO EMPRESA;01/02/5611;
PAULINO'S LANCHE E AÇAÍ;;Lanchonete/Diversos;17 99188-4455; Paulino's Lanche e Açaí ;559;*;*;*;*;4,3;;11;0; 38.117.659/0001-03;R AGNELLO DE OLIVEIRA, 1020;JARDIM DAS OLIVEIRAS;Pinheirinho;15047-016;MICRO EMPRESA;01/02/5611;
OBA OBA AÇAÍ ZONA NORTE;;Sorveteria/ Açaí/ Doceria;17 99162-8687; Oba Oba Açaí RP ;281; Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/oba-oba-acai-zona-norte-jardim-das-oliveiras;*;*;4,4;4,6;9;11; 44.037.415/0001-05;AV. ALFREDO TEODORO DE OLIVEIRA, 2390;JARDIM DAS OLIVEIRAS;Pinheirinho;15047-000;MICRO EMPRESA;03/02/5611;
TOP SALGADOS;;Lanchonetes/Hamburguerias;17 99702-1515;*;;*;*;*;*;;;0;0; 48.714.483/0001-12;AV. ALFREDO TEODORO DE OLIVEIRA, 2370;JARDIM DAS OLIVEIRAS;Pinheirinho;15047-000;MICRO EMPRESA;03/02/5611;
BAR 7 COPAS;;Comida Brasileira;17 99169-2337;bar7copas;7252; Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/7-copas-comida-caseira-boa-vista;*;*;4,5;4,8;517;3; 14.646.002/0001-67;R. SALOMÃO ANTÔNIO PEDRO, 97;JARDIM OURO VERDE;HB;15084-290;MICRO EMPRESA;03/02/5611;
SKINA DO ESPETO;;Comida Brasileira; 17 3225-1252; skinadoespeto_ ;295;*;*;*;*;4,6;;467;0; 31.520.195/0001-24;R. SÃO PAULO, 987;JARDIM PAULISTA;Central;15060-195;MICRO EMPRESA;03/02/5611;
BURGUER 11;;Lanchonetes/Hamburguerias; 0800 875 3535; burguer11deuses ;1799;*;*;Plataforma Própria;https://burger11.com.br/#app;4;;46;0; 44.065.863/0001-12;Av. Romeu Strazzi, 1834 A - Loja 1 ;Jardim Walkiria;HB;15091-365;MICRO EMPRESA;03/02/5611;
DIPZ;;Comida Brasileira;17 3201 2952; @batatadipz;18400;*;*;*;*;4,4;;78;0;16.722.214/0001-01;AVENIDA ALFREDO ANTONIO DE OLIVEIRA, 2077;JARDIM PLANALTO;Central;15046-355;EMPRESA DE PEQUENO PORTE;03/02/5611;
CHEIRIN BÃO;;Outros;17 99769-4493; cheirinbao ;88700;*;*;Plataforma Própria;https://cheirinbao.com.br/;4,9;;38;0;43.981.871/0001-46;AV. FRANCISCO DAS CHAGAS OLIVEIRA, 619;PINHEIROS;HB;15091-330;MICRO EMPRESA;03/02/5611;
NARDUS'S SALGADOS;;Lanchonetes/Hamburguerias; 17 32155118;*;;*;*;*;*;;;0;0; 45.644.384/0001-13;AV. LUIZ DA CRUZ MARTINS, 665;JARDIM SÃO PAULO;Central;1506-1413;MICRO EMPRESA;03/02/5611;
REI DO ESPETO;;Comida Brasileira;17 99202-1236; reidoespetopetiscos;4081;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/rei-do-espeto-parque-quinta-das-paineiras;*;*;4,6;;360;0; 26.662.724/0001-94;AV. POTIRENDABA, 2262;JARDIM SANTA LUZIA;HB;15080-480;MICRO EMPRESA;03/02/5611;
CHIQUINHO SORVETES;;Sorveteria/ Açaí/ Doceria; 17 3355-0200;*;;*;*;*;*;;;0;0; 24.796.592/0001-68;AV. JOSÉ MUNIA, 4775 ;JARDIM REDENTOR ;HB;15085-350;MICRO EMPRESA;03/02/5611;
CAFÉ TABACARIA ESTORIL;;Outros; 17 99227-9604; estoril.riopreto;15200; Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/cafe-estoril---rio-preto-jardim-redentor;Plataforma Própria;https://estoril.site/cardapio_estorilRioPreto.pdf;4,8;4,8;217;8; 13.418.797/0001-93;AV. JOSÉ MUNIA, 5495;JARDIM REDENTOR ;HB;15085-350;MICRO EMPRESA;03/02/5611;
LISBOA E LOPES LANCHONETE;;Lanchonetes/Hamburguerias; (17)2139-8380;*;;*;*;*;*;;;0;0; 06.100.123/0001-80;AV. JOSÉ MUNIA, 7301 (SALA B); JARDIM VIVENDAS;HB;15085-350;MICRO EMPRESA;03/02/5611;
GRÃO ESPRESSO CAFETERIA;;Lanchonetes/Hamburguerias; (17)3363-0023; graoespresso_oficial;2764;*;*;*;*;4,5;;78;0; 21.060.308/0001-00;AV. JOSÉ MUNIA, 4775 (LOJA LUC 1013);JARDIM REDENTOR ;HB;15085-350;EMPRESA DE PEQUENO PORTE;03/02/5611;
GRÃO ESPRESSO CAFETERIA;;Lanchonetes/Hamburguerias; (17)3227-9000; graoespresso_oficial;2764;*;*;*;*;4,3;;44;0; 21.060.308/0001-00;AV. BRG. FARIA LIMA, 6363; JARDIM MORUMBI;HB;15090-900;EMPRESA DE PEQUENO PORTE;03/02/5611;
BAR E LANCHONETE PITÚ;;Lanchonetes/Hamburguerias; (17)3232-2271;*;;*;*;*;*;4,6;;1645;0; 54.402.896/0001-64;  R. CEL. SPÍNOLA DE CASTRO, 5190;CENTRO;Central;15015-500;MICRO EMPRESA;03/02/5611;
BLANCAFÉ;;Lanchonetes/Hamburguerias; (17)3222-1444; blancafeoficial;1432;*;*;*;*;4,5;;439;0; 21.347.876/0001-89;R. XV DE NOVEMBRO, 4095;VILA REDENTORA;HB;15015-790;MICRO EMPRESA;03/02/5611;
MELTING BURGERS REDENTORA;;Lanchonetes/Hamburguerias; (17)3305-6567; meltingburgers;21700;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/melting-burgers-vila-imperial;Plataforma Própria;https://meltingburgers.com.br/meltingburgers;4,5;4,8;1083;40; 18.474.258/0001-95;R. DR. RAUL SILVA, 153;VILA REDENTORA;HB;15015-020;EMPRESA DE PEQUENO PORTE;03/02/5611;
MELTING BURGERS;;Lanchonetes/Hamburguerias; (17)3227-1979; meltingburgers;21700;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/melting-burgers-jardim-moyses-miguel-haddad;Delivery Direto;https://deliverydireto.com.br/meltingburgers/jk?utm_source=google-place-action-link&dd=menu;4,4;4,2;1117;7; 18.474.258/0001-95;AV. PRES. JUSCELINO K. DE OLIVEIRA, 3730;JARDIM MOYSES MIGUEL HADDAD;HB;15093-215;EMPRESA DE PEQUENO PORTE;03/02/5611;
MELTING BURGERS DAMHA;;Lanchonetes/Hamburguerias; (17)3223-0313; meltingburgers;21700;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/melting-burgers-parque-residencial-damha;Delivery Direto;https://deliverydireto.com.br/meltingburgers/damha?utm_source=google-place-action-link&dd=menu;4,1;4,6;12;23; 18.474.258/0001-95;AV. MIGUEL DAMHA, 1825;PARQUE RESIDENCIAL DAMHA;Represa;15061-768;EMPRESA DE PEQUENO PORTE;03/02/5611;
BROOKS HAMBURGUERIA RIO PRETO;;Lanchonetes/Hamburguerias; (17)3363-6894; brooksriopreto;22000; Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/brooks-hamburgueria-vila-redentora;Gommer;https://brooks-hamburgueria-rio-preto.goomer.app/;4,4;4;803;47; 30.559.970/0001-92;R. PENITA, 3353;VILA SANTA CRUZ;Central;15015-820;MICRO EMPRESA;03/02/5611;
THE B-BURGUERS (SANTO BRISTRÔ);;Lanchonetes/Hamburguerias; (17)3234-5210;*;;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/santo-bistro-centro;*;*;4,7;;77;0; 48.653.441/0001-19;R. XV DE NOVEMBRO, 4027;CENTRO;Central;15015-110;MICRO EMPRESA;03/02/5611;
GOOD HOUSE SMASH BURGER;;Lanchonetes/Hamburguerias; (17)98201-8462; goodhouseburguer;14300; Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/good-house-burger-vila-redentora;Gommer;https://good-house-burger.goomer.app/;4,7;4,8;345;124; 35.156.465/0001-10;R. MIRASSOL, 3118;VILA REDENTORA;HB;15015-830;EMPRESA DE PEQUENO PORTE;03/02/5611;
BUTECO DU GAÚCHO;;Comida Brasileira; (17)99195-3390; butecodugaucho;7627; Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/buteco-du-gaucho-centro;Menu Dino;https://butecodugaucho.menudino.com/;4,8;;352;0; 40.821.345/0001-20;R. CEL. SPÍNOLA DE CASTRO, 4496;CENTRO;Central;15015-500;MICRO EMPRESA;03/02/5611;
RESTAURANTE FAROL DA BARRA;;Comida Brasileira; (17)3512-2985;*;;*;*;*;*;4,8;;72;0; 09.521.504/0001-21;RUA LUÍZ VAZ DE CAMÕES, 2783;VILA REDENTORA;HB;15015-750;MICRO EMPRESA;03/02/5611;
BAR E MERCEARIA GOMES;;Outros;(17)99210-6113;*;;*;*;*;*;;;0;0;10.593.781/0001-29;RUA FRANSCISCO RILLO, 700;JOÃO PAULO II;Bosque;15053-190;MICRO EMPRESA;03/02/5611;
LANCHES MONÁ;;Lanchonetes/Hamburguerias;*;*;;*;*;*;*;;;0;0;09.139.715/0001-02;AVENIDA DANILO GALEAZZI, 2745;JOÃO PAULO II;Bosque;15051-000;MICRO EMPRESA;04/02/5611;
LANCHONETE CHAPA QUENTE;;Lanchonetes/Hamburguerias;17 99260-1616;Chapa Quente Lanches;308;*;*;*;*;4,8;;134;0;40.645.753/0001-79;José da Silveira Baldy, 900;JOÃO MARCOS;Bosque;15051-155;INDIVIDUAL;03/02/5611;
SORVETERIA NEVASKA;;Sorveteria/ Açaí/ Doceria;17 3224 0499; @nevaskarp;729;*;*;*;*;4,8;;949;0;01.057.362/0001-81;RUA SANTA CECILIA, 260;RESIDENCIAL JOAQUIM NABUCO;Central;15020-270;MICRO EMPRESA;03/02/5611;
BURGER KING;;Lanchonetes/Hamburguerias;11 5058 5000; @burgerkingbr;2100000;*;*;Rappi;https://www.rappi.com.br/restaurantes/900148968-burger-king?utm_source=google&utm_medium=organic&utm_campaign=place-action-link;4,4;;1495;0;28.835.723/0001-20;AVENIDA ALFREDO ANTONIO DE OLIVEIRA, 2077;JARDIM PLANALTO;Central;15046-355;GRANDE;01/02/5611;
SUCOS MOENDA REGIAO NORTE;;Lanchonetes/Hamburguerias;17 99636 3232; @sucosmoendarn;4754;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/sucos-moenda---shopping-cidade-norte-jardim-planalto;*;*;3;4,9;4;43;36.392.877/0001-12;AVENIDA ALFREDO ANTONIO DE OLIVEIRA, 277;JARDIM PLANALTO;Central;15046-355;MICRO EMPRESA;03/02/5611;
VÔ FRANCISCO RESTAURANTE;;Comida Brasileira;17 98130 3686;Vô Francisco Restaurante;356;*;*;*;*;4;;24;0;43.063.058/0001-97;AVENIDA ALFREDO ANTONIO DE OLIVEIRA, 2077;JARDIM PLANALTO;Central;15046-355;MICRO EMPRESA;01/02/5611;
ESPETO CIDADE NORTE;;Comida Brasileira;17 99181 6747; @espeto_cidade_norte;8377;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/espeto-cidade-norte-parque-juriti;*;*;4,6;;41;0;33.000.123/0001-81;RUA JOSÉ RUBIO, 51;PARQUE JURITI;CEU;15046-572;MICRO EMPRESA;03/02/5611;
SUZI AÇAÍ;;Sorveteria/ Açaí/ Doceria;17 99161 1441; @suziacai;544;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/suzi-acai-solo-sagrado;*;*;5;;13;0;23.777.754/0001-58;AVENIDA SÃO JOSÉ DO RIO PRETO, 4154;RESIDENCIAL DAS LARANJEIRAS;Pinheirinho;15044-155;INDIVIDUAL;03/02/5611;
SUSHI DO BAIANO;;Comida Étnica (Japão);17 98805 8837; @sushidobaiano;450;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/sushi-do-baiano-parque-residencial-lauriano-tebar-ii;*;*;3,9;4,7;42;71;37.434.694/0001-85;AVENIDA DE MAIO, 3245, SALA 1;PARQUE RESIDENCIAL LAURIANO TEBAR II;Vila Toninho;15076-480;INDIVIDUAL;03/02/5611;
AÇAÍ VILA BUENO;;Sorveteria/ Açaí/ Doceria;17 98832 3325; @vilabuenoacai;1533;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/acai-vila-bueno-parque-residencial-lauriano-tebar-ii;*;*;4,8;5;41;26;45.582.999/0001-62;AVENIDA DE MAIO, 3231;PARQUE RESIDENCIAL LAURIANO TEBAR II;Vila Toninho;15076-480;INDIVIDUAL;01/02/5611;
MARMITARIA SABOR PIMENTA;;Outros;*;*;;*;*;*;*;;;0;0;44.547.237/0001-62;RUA RUI BARBOSA, 494;CENTRO;Central;15220-000;INDIVIDUAL;03/02/5611;
MAURICIO'S RESTAURANTE;;Comida Brasileira;17 3011 8005;Mauricio's Lanches;251;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/mauricios-restaurante-vila-maceno/30ff8331-41bb-4ec9-afdc-80bd57ef89f0?utm_medium=ReserveGoogle;*;*;4,7;;20;0;29.032.574/0001-23;AVENIDA DOUTOR FERNANDO COSTA, 445;VILA MACENO;Central;15061-000;INDIVIDUAL;04/01/5620;
CASEIRINHA RESTAURANTE;;Comida Brasileira;(17) 98837-1493;*;;*;*;*;*;5;;3;0;43.329.776/0001-62;RUA JOSÉ MARIA DE OLIVEIRA CASACA, 559;JARDIM MARIA CANDIDA;HB;15020-340;INDIVIDUAL;01/02/5611;
APETITE TRADICIONAL;;Comida Brasileira;17 99641 9825;Apetite tradicional;194;*;*;*;*;4,5;;1;0;37.936.493/0001-86;RUA ALBERTO SUFREDINI BERTONI, 2328, ANEXO 1;VILA MACENO;Central;15060-020;INDIVIDUAL;01/02/5611;
TIVOLI RESTAURANTE;;Comida Brasileira;17 3223 1264;Tivoli Restaurante Maceno;319;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/tivoli-restaurante---praca-shopping-centro;*;*;4,6;;122;0;15.573.988/0001-55;RUA BERNARDINO DE CAMPOS, 1931;CENTRO;Central;15060-010;EMPRESA DE PEQUENO PORTE;01/02/5611;
VILA GARCIA PIZZARIA;;Pizzarias/Massas;17 3304 5141; @vilagarcia.pizzaria;2306;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/vila-garcia-pizzaria-delivery-centro;*;*;4,4;4,8;71;104;28.226.684/0001-63;RUA BERNARDINO DE CAMPOS, 1822, SALÃO A;VILA MACENO;Central;15060-010;INDIVIDUAL;01/02/5611;
JAPEY LOUNGE;;Comida Étnica (Japão);17 98835 0030; @japeylounge;9763;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/japey-sushi-lounge-vila-maceno;*;*;4,4;4,4;602;33;40.151.929/0001-36;AVENIDA DOUTOR FERNANDO COSTA, 755, BOX 14;VILA MACENO;Central;15061-000;INDIVIDUAL;01/02/5611;
ARMAZEM DOS SABORES RESTAURANTE;;Comida Brasileira;17 98153 3403;Armazém DOS Sabores;11600;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/armazem-dos-sabores-jardim-manoel-del-arco;*;*;4,3;;8;0;48.236.774/0001-42;RUA MANOEL DEL ARCO, 162;JARDIM MANOEL DEL ARCO;CEU;15046-708;MICRO EMPRESA;01/02/5611;
PIZZARIA DO JAIR;;Pizzarias/Massas;17 3305 4365;Pizzaria do Jair;1400;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/pizzaria-do-jair-jardim-manoel-del-arco;*;*;4,5;4,9;274;9;32.200.884/0001-14;RUA MANOEL DEL ARCO, 210;JARDIM MANOEL DEL ARCO;CEU;15046-708;INDIVIDUAL;01/02/5611;
PORCO NO PRATO;;Comida Brasileira;17 3237 1476;Porco no Prato Cidade Norte;206;*;*;*;*;4,4;;11;0;46.539.294/0001-25;AVENIDA ALFREDO ANTONIO DE OLIVEIRA, 2077;JARDIM PLANALTO;Central;15046-355;MICRO EMPRESA;01/02/5611;
PANIFICADORA UNIAO;;Lanchonetes/Hamburguerias;(17) 9169-3963;*;;*;*;*;*;;;0;0;37.149.913/0001-84;R OSCAR DA SILVA PASTORE, 130;JARDIM PLANALTO;Central;15046-618;MICRO EMPRESA;01/02/5611;
DON GELATTO;;Sorveteria/ Açaí/ Doceria;(17)3363-9099;dongelatto.oficial;500;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/gelatos-gourmet-parque-residencial-dom-lafayete-libanio;*;*;;;0;0;25.328.021/0001-61;RUA ABRAO THOME, 695;JARDIM WALKIRIA;HB;15085-400;MICRO EMPRESA;01/02/5611;
CAPITÃO BURGUER;;Lanchonetes/Hamburguerias;(17)98810-8330;Capitão Burguer Rio Preto;120;*;*;*;*;5;;1;0;34.437.316/0001-67;AV. GOV. ADHEMAR P. DE BARROS;VILA FIORESI ;Central;15014-402;MICRO EMPRESA;03/02/5611;
RESTAURANTE BEYROUTH;;Comida Étnica (Arábia);(17)3227-7302;restaurantebeyrouth;199;*;*;*;*;4,4;;161;0;07.359.509/0001-74;RUA GERASSINA TAVARES, 980;JARDIM YOLANDA;Represa;15061-650;MICRO EMPRESA;03/02/5611;
LOPES LANCHES;;Lanchonetes/Hamburguerias;(17) 99150-0951;*;;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/lopes-lanches-artesanais-jardim-yolanda;*;*;4,6;4,8;181;50;47.609.079/0001-16;AVENIDA SYLVIO DELLA ROVERE, 537;JARDIM YOLANDA;Represa;15061-580;MICRO EMPRESA;03/02/5611;
SKINA'S BURGUER;;Lanchonetes/Hamburguerias;(17)99195-0266;Skina's Burguer's;814;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/skinas-burguers-vila-zilda;*;*;4,4;4,1;23;18;37.576.933/0001-31;RUA EXPEDICIONARIOS, 1481;VILA ZILDA;Central;15025-030;MICRO EMPRESA;03/02/5611;
EMPÓRIO DO BOLO;;Sorveteria/ Açaí/ Doceria;(17) 99268-8531;*;;*;*;*;*;5;;4;0;45.664.194/0001-68;RUA EXPEDICIONARIOS, 2020;VILA ZILDA;Central;15025-030;MICRO EMPRESA;03/02/5611;
EMPÓRIO VALENTINA;;Lanchonetes/Hamburguerias;(17) 99703-9594;*;;*;*;*;*;4,4;;23;0;31.810.728/0001-02;AVENIDA VALDOMIRO LOPES DA SILVA, 902;NATURE I;Pinheirinho;15044-800;MICRO EMPRESA;03/02/5611;
MARMITARIA CAMPOS SALLES;;Lanchonetes/Hamburguerias;(17)99199-3363;*;;*;*;*;*;4,5;;114;0;*;R. CAMPOS SALLES, 906;BOA VISTA;Central;15025-600;MICRO EMPRESA;03/02/5611;
ARMAZÉM ÁRABE;;Comida Étnica (Arábia);(17)3216-5116;*;;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/armazem-arabe-boa-vista;*;*;4,7;5;246;4;07.428.222/0001-59;R. LUIZ ANTÔNIO DA SILVEIRA, 544;BOA VISTA;Central;15025-020;MICRO EMPRESA;01/02/5611;
BADIOLA PIZZAS;;Pizzarias/Massas;(17)3308-2863;badiolapizzas;1782;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/badiola-pizzas-boa-vista;WayMenu ;https://www.waymenu.com.br/menu/badiola-pizzas/delivery/#/cardapio;4,6;4,9;449;63;19.272.685/0001-53;R. CAMPOS SALLES, 2162;BOA VISTA;Central;15025-600;MICRO EMPRESA;01/02/5611;
BALBEK BAR;;Comida Brasileira;(17)99171-9789;*;;*;*;*;*;4,4;;250;0;42.409.422/0001-65;R. DELEGADO PINTO DE TOLÊDO,1893;PARQUE INDUSTRIAL;CENTRAL;15025-075;MICRO EMPRESA;01/02/5611;
HANBAI SUSHI BAR;;Comida Étnica (Japão);(17)3234-3529;*;;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/hanbai-restaurante-japones-vila-santa-cruz;Gommer;https://hanbaisushibar.goomer.app/;4,4;4,8;610;57;45.890.127/0001-61;RUA MARECHAL DEODORO DA FONSECA, 3518;VILA SANTA CRUZ;Central;15014-060;MICRO EMPRESA;01/02/5611;
FRIDA LOUNGE E BAR;;Comida Brasileira;(17)98192-6595;_fridabar;4028;*;*;*;*;4,4;;30;0;36.577.061/0001-63;R. SILVA JARDIM, 3533;VILA SANTA CRUZ;Central;15014-050;MICRO EMPRESA;01/02/5611;
YOKOHAMA;;Comida Étnica (Japão);(17)3222-1001;yokohama.oficial;5195;*;*;*;*;4,4;;460;0;24.555.048/0001-24;R. RUBIÃO JÚNIOR, 3485;VILA BOM JESUS;Central;15014-220;MICRO EMPRESA;01/02/5611;
TOCA DA CORUJA PUB BAR;;Comida Brasileira;17 99617 2679;tocadacorujariopreto;10300;*;*;*;*;4,6;;671;0;17.469.531/0001-20;R. SALDANHA MARINHO, 3928;VILA SANTA CRUZ;Central;15014-300;MICRO EMPRESA;01/02/5611;
LANCHONETE SAMUKA;;Lanchonete/Diversos;(17)99257-1412;*;;*;*;*;*;5;;3;0;22.664.886/0001-00;R. TIRADENTES, 2958;CENTRO;Central;15010-030;MICRO EMPRESA;03/02/5611;
PASTELARIA MEILI;;Lanchonetes/Hamburguerias;*;*;;*;*;*;*;4,5;;2;0;25.031.783/0001-00;R. BERNARDINO DE CAMPOS, 2671;CENTRO;Central;15015-300;MICRO EMPRESA;03/02/5611;
COFFEE SHOP;;Lanchonetes/Hamburguerias;(17)3222-6519;*;;*;*;*;*;3,9;;20;0;*;R. BERNARDINO DE CAMPOS, 3011;CENTRO;Central;15015-300;MICRO EMPRESA;03/02/5611;
PASTELARIA ORIENTE;;Lanchonetes/Hamburguerias;(17)3231-9729;*;;*;*;*;*;4,5;;6;0;02.339.675/0001-95;R. SIQUEIRA CAMPOS, 2916;CENTRO;Central;15010-040;MICRO EMPRESA;03/02/5611;
T N HATTORI RIO PRETO;;Lanchonetes/Hamburguerias;(17)3232-4333;*;;*;*;*;*;;;0;0;73.015.893/0001-12;R. ANTÔNIO DE GODOY, 3048,BOX 20;CENTRO;Central;15015-100;MICRO EMPRESA;03/02/5611;
